No,SiteID,PlantVariety,PlantType,PlantID,Length,Length_sq,Width,Width_sq,Flower,estimate00,mixed
234,F,Kitawase,Pin,F-P02,12.25,150.06,9.45,89.3,112,168.2391923,112
235,F,Kitawase,Pin,F-P02,19.83,393.23,5.87,34.46,116,167.8778251,116
236,F,Kitawase,Pin,F-P02,13.55,183.6,5.63,31.7,82,114.0503451,82
237,F,Kitawase,Pin,F-P02,13.83,191.27,8.99,80.82,100,173.4317792,100
238,F,Kitawase,Pin,F-P02,12.14,147.38,6.44,41.47,60,117.3865431,60
239,F,Kitawase,Pin,F-P02,14.47,209.38,8.64,74.65,104,172.8603725,104
240,F,Kitawase,Pin,F-P02,13.59,184.69,6.3,39.69,72,126.34804,72
241,F,Kitawase,Pin,F-P02,15.68,245.86,10.8,116.64,246,215.7977647,246
242,F,Kitawase,Thrum,F-T02,9.38,87.98,6.34,40.2,91,93.86726341,91
243,F,Kitawase,Thrum,F-T02,10.55,111.3,10.03,100.6,167,163.7992275,167
244,F,Kitawase,Thrum,F-T02,14.33,205.35,11.13,123.88,NA,209.9932316,210
245,F,Kitawase,Thrum,F-T02,13.73,188.51,10.49,110.04,100,195.8182071,100
246,F,Kitawase,Thrum,F-T02,13.37,178.76,9.51,90.44,185,178.0039104,185
247,F,Kitawase,Thrum,F-T02,16.16,261.15,10.21,104.24,NA,210.7582158,211
248,F,Kitawase,Thrum,F-T02,10.54,111.09,10.66,113.64,NA,173.2064195,173
249,F,Kitawase,Thrum,F-T02,10.28,105.68,9.02,81.36,NA,145.9265455,146
250,F,Kitawase,Thrum,F-T02,12.58,158.26,8.88,78.85,NA,161.8234387,162
251,F,Kitawase,Thrum,F-T02,16.56,274.23,13.69,187.42,NA,262.717398,263
252,F,Kitawase,Thrum,F-T02,10.8,116.64,9.94,98.8,NA,164.3944635,164
253,F,Kitawase,Thrum,F-T02,8.89,79.03,8.16,66.59,NA,121.0440585,121
254,F,Kitawase,Thrum,F-T02,9.89,97.81,5.73,32.83,99,87.00879924,99
255,F,Kitawase,Thrum,F-T02,6.02,36.24,6.85,46.92,NA,76.29723192,76
256,F,Kitawase,Thrum,F-T02,11.52,132.71,7.35,54.02,NA,128.2268291,128
257,F,Kitawase,Thrum,F-T02,9.94,98.8,8.32,69.22,125,131.9495619,125
258,F,Kitawase,Thrum,F-T02,13.4,179.56,8.76,76.74,NA,166.3598099,166
259,F,Kitawase,Thrum,F-T02,13.26,175.83,9.17,84.09,NA,171.7958673,172
260,F,Kitawase,Thrum,F-T02,4.2,17.64,4.77,22.75,16,24.54738065,16
261,F,Kitawase,Thrum,F-T02,13.43,180.36,7.52,56.55,NA,146.1608145,146
262,F,Kitawase,Thrum,F-T02,8.53,72.76,6.86,47.06,NA,96.25457627,96
263,F,Kitawase,Thrum,F-T02,14.43,208.22,8.66,75,NA,172.8668271,173
264,F,Kitawase,Thrum,F-T02,9.66,93.32,7.74,59.91,NA,120.140836,120
265,F,Kitawase,Thrum,F-T02,9.8,96.04,6.59,43.43,NA,101.5688481,102
266,F,Kitawase,Thrum,F-T02,3.01,9.06,3.72,13.84,NA,-4.7750298,-5
267,F,Kitawase,Thrum,F-T02,9.82,96.43,6.86,47.06,NA,106.4230593,106
268,F,Kitawase,Thrum,F-T02,11.31,127.92,5.78,33.41,NA,99.1014639,99
269,F,Kitawase,Thrum,F-T02,7.33,53.73,7.4,54.76,NA,96.0468586,96
270,F,Kitawase,Thrum,F-T02,7.62,58.06,6.7,44.89,NA,86.30440021,86
271,F,Kitawase,Thrum,F-T02,10.96,120.12,5.58,31.14,NA,92.7286581,93
272,F,Kitawase,Thrum,F-T02,12.93,167.18,6.94,48.16,NA,132.3214707,132
273,F,Kitawase,Thrum,F-T02,12.73,162.05,9.1,82.81,NA,166.5096943,167
274,F,Kitawase,Thrum,F-T02,12.95,167.7,8.95,80.1,NA,165.8580717,166
275,F,Kitawase,Thrum,F-T02,8.9,79.21,6.42,41.22,NA,91.4931173,91
276,F,Kitawase,Thrum,F-T02,13.53,183.06,8.67,75.17,NA,165.9350259,166
277,F,Kitawase,Thrum,F-T02,4.52,20.43,5.84,34.11,NA,46.65703557,47
278,F,Kitawase,Thrum,F-T02,7.84,61.47,7.17,51.41,NA,96.1492485,96
279,F,Kitawase,Thrum,F-T02,11.01,121.22,8.26,68.23,NA,139.3992817,139
280,F,Kitawase,Thrum,F-T02,9.55,91.2,6.91,47.75,NA,105.1587769,105
281,F,Kitawase,Thrum,F-T02,10.51,110.46,6.79,46.1,NA,110.6504753,111
282,F,Kitawase,Thrum,F-T02,6.7,44.89,7.2,51.84,27,87.67639428,27
283,F,Kitawase,Thrum,F-T02,13.37,178.76,5.91,34.93,87,117.6742118,87
284,F,Kitawase,Thrum,F-T02,5.46,29.81,4.89,23.91,33,36.71282823,33
285,F,Kitawase,Thrum,F-T02,8.01,64.16,6.37,40.58,84,83.5975357,84
286,F,Kitawase,Thrum,F-T02,8.54,72.93,7.55,57,86,108.1219719,86
287,F,Kitawase,Thrum,F-T02,9.43,88.92,8.43,71.13,98,129.7039574,98
288,F,Kitawase,Thrum,F-T02,7.41,54.91,4.32,18.66,38,41.39116494,38
289,F,Kitawase,Thrum,F-T02,12.37,153.02,8.11,65.77,91,147.6532011,91
290,F,Kitawase,Thrum,F-T02,15.34,235.32,10.26,105.27,78,205.0489731,78
291,F,Kitawase,Thrum,F-T02,15.56,242.11,7.23,52.27,76,158.0289898,76
292,F,Kitawase,Thrum,F-T03,6.89,47.47,3.87,14.98,NA,28.70093931,29
293,F,Kitawase,Thrum,F-T03,13.97,195.16,5.11,26.11,NA,107.8642969,108
294,F,Kitawase,Thrum,F-T03,5.42,29.38,5.89,34.69,NA,54.65077684,55
295,F,Kitawase,Thrum,F-T03,4.04,16.32,3.94,15.52,NA,7.582565739,8
296,F,Kitawase,Thrum,F-T03,5.4,29.16,5.06,25.6,NA,39.3888791,39
